"code";"deb_sem";"abon";"abv";"abz";"ahh";"ajb";"ambl";"ants";"atb";"bel";"bela";"bhk";"boe";"bos";"cda";"die";"diri";"do";"dri";"ejd";"far";"fito";"fns";"iho";"mae";"mand";"mdv";"mhj";"mia";"miad";"mjr";"mnj";"mnld";"mora";"mrb";"mrg";"mrt";"mtn";"nsb";"samp";"sbv";"sm";"stm";"tanb";"tdd";"tgr";"tlr";"toa";"tomp";"tsar";"tsim";"tsl";"velo";"vink";"vola"
"2014_50";"2014-12-08";0;14;2;1;2;2;2;5;27;0;0;33;2;1;3;0;2;14;0;97;6;5;8;15;1;26;1;27;7;2;111;4;2;13;1;25;39;18;2;12;0;2;2;13;5;8;11;3;1;19;1;1;0;1
"2014_49";"2014-12-01";0;8;0;17;0;0;6;8;14;1;3;17;3;2;5;1;0;13;4;78;6;5;9;82;0;14;6;44;9;0;92;4;2;3;12;14;40;19;3;17;1;4;5;5;7;9;8;4;0;4;2;0;0;1
"2014_48";"2014-11-24";0;25;1;32;2;2;2;3;28;2;3;15;4;1;0;1;1;11;8;53;4;0;5;44;1;12;7;29;0;3;40;1;2;14;5;29;14;6;1;3;1;1;5;27;5;3;48;1;0;18;2;2;2;1
"2014_47";"2014-11-17";1;13;1;1;2;0;12;7;85;2;2;5;3;1;4;1;0;9;0;66;3;5;2;53;1;19;0;2;7;1;73;1;0;24;3;20;39;14;1;20;0;6;3;16;6;2;34;0;0;14;0;0;1;0
"2014_46";"2014-11-10";0;25;2;8;0;0;12;8;7;1;1;10;2;1;3;1;0;8;3;65;5;1;2;4;1;21;4;24;5;3;42;2;0;16;7;13;2;2;0;7;1;8;4;3;0;2;36;3;0;20;1;1;0;0
"2014_45";"2014-11-03";1;30;3;16;1;1;10;2;31;0;3;39;4;1;5;1;2;15;0;59;2;2;0;49;1;24;2;19;3;3;108;1;0;41;2;29;6;16;3;12;1;2;4;31;1;12;24;1;0;17;2;0;1;1
"2014_44";"2014-10-27";1;18;3;26;0;0;11;8;37;1;3;16;0;1;3;1;1;2;5;73;2;2;9;49;1;16;0;32;4;1;104;0;0;13;8;17;23;22;0;0;1;8;0;22;3;8;39;1;1;9;0;0;2;1
"2014_43";"2014-10-20";0;8;2;25;2;2;12;8;78;0;2;27;2;1;1;0;2;15;8;97;3;2;4;28;1;15;1;13;3;1;43;1;0;41;5;26;10;8;1;9;1;7;1;23;4;8;24;2;0;0;2;1;0;0
"2014_42";"2014-10-13";0;32;3;28;2;1;5;5;19;0;0;36;0;0;4;1;0;1;6;47;1;1;4;76;0;11;4;8;3;3;18;5;0;27;10;26;14;3;3;12;1;9;3;27;0;14;9;2;1;24;2;0;1;0
"2014_41";"2014-10-06";0;16;1;18;2;0;1;5;87;4;1;5;2;2;5;0;2;3;3;31;6;3;4;44;0;17;2;57;1;0;15;0;0;20;9;10;11;8;1;2;1;2;0;0;1;15;34;0;1;3;1;1;2;1
"2014_40";"2014-09-29";1;26;1;7;1;2;4;8;63;2;4;7;2;0;1;0;1;3;4;26;0;0;6;13;1;17;2;35;4;2;44;4;1;48;3;7;35;13;3;4;1;4;5;12;4;4;43;3;0;14;2;0;0;0
"2014_39";"2014-09-22";1;3;3;29;2;2;5;2;72;0;2;37;0;0;1;0;2;8;4;2;3;1;9;73;1;3;8;37;8;1;80;3;0;14;1;0;18;0;3;22;0;4;1;27;5;14;1;2;0;16;0;2;1;0
"2014_38";"2014-09-15";1;6;2;29;2;1;2;4;110;0;5;36;4;0;2;0;0;8;5;107;4;1;8;20;1;0;6;7;7;2;4;5;2;25;11;10;27;8;1;19;1;6;5;2;7;11;12;2;0;13;2;2;0;1
"2014_37";"2014-09-08";1;27;3;2;1;1;11;0;6;3;4;2;1;1;2;0;2;10;4;94;6;0;2;51;0;21;6;27;0;2;76;1;1;28;6;24;46;12;0;1;2;3;0;5;5;2;50;0;0;13;0;1;2;0
"2014_36";"2014-09-01";0;29;2;9;2;0;2;6;17;4;2;13;2;0;3;0;1;0;0;77;0;1;10;25;0;0;5;46;4;0;52;1;2;19;13;26;34;5;0;13;2;4;2;17;3;4;77;0;1;8;1;1;1;0
"2014_35";"2014-08-25";0;23;0;18;2;0;4;0;93;3;1;17;2;0;0;1;2;14;3;85;3;2;7;62;0;9;3;49;7;3;35;2;0;53;13;17;33;13;3;23;0;1;3;0;8;1;33;3;0;14;1;1;1;0
"2014_34";"2014-08-18";0;31;3;18;0;2;6;2;106;1;1;32;0;0;4;0;2;15;7;33;6;1;10;64;1;17;4;35;9;2;102;3;2;48;11;20;8;12;3;22;1;0;4;21;4;11;67;4;1;25;0;1;0;0
"2014_33";"2014-08-11";1;23;0;25;2;0;12;3;37;2;2;14;4;0;5;0;1;5;0;65;5;4;9;43;0;1;2;39;3;2;115;2;0;60;4;0;4;0;1;24;1;7;0;31;4;12;16;3;0;21;2;0;2;1
"2014_32";"2014-08-04";0;17;0;12;2;0;6;1;61;1;5;5;1;0;3;1;1;10;4;53;3;2;5;16;1;17;0;46;4;3;72;1;1;50;8;8;30;12;0;2;0;0;2;1;6;3;52;1;0;11;1;0;2;1
"2014_31";"2014-07-28";1;3;2;10;1;0;0;4;38;4;0;9;3;1;2;1;1;11;0;42;4;0;10;70;0;20;5;4;4;0;117;1;0;57;13;7;47;2;1;11;0;9;1;27;8;6;52;4;0;7;0;2;2;0
"2014_30";"2014-07-21";0;21;1;9;2;2;9;4;2;4;3;18;2;2;0;0;0;14;9;68;2;3;5;52;0;16;7;3;4;1;13;1;0;51;8;20;2;13;1;5;0;7;1;8;7;8;15;4;1;13;1;1;2;1
"2014_29";"2014-07-14";1;3;0;25;1;1;10;4;61;3;5;27;0;0;2;0;1;10;1;38;5;5;7;81;0;16;3;26;6;3;72;0;2;37;3;12;45;6;0;0;0;7;2;1;8;5;7;0;0;8;2;2;1;1
"2014_28";"2014-07-07";0;11;3;3;1;0;0;3;95;4;2;21;2;2;5;1;2;14;6;56;3;4;5;45;1;29;6;1;2;3;36;0;1;19;4;22;36;12;3;17;0;2;5;31;6;10;22;2;1;21;2;2;2;1
"2014_27";"2014-06-30";0;14;0;12;1;1;4;3;98;1;1;15;0;2;5;1;2;0;3;82;5;3;9;57;1;14;7;28;2;0;87;4;2;48;9;13;28;2;2;1;2;3;3;24;4;1;21;4;0;7;0;0;2;1
"2014_26";"2014-06-23";1;15;1;11;1;1;8;4;82;1;4;15;3;2;3;1;1;3;0;90;4;5;1;14;0;8;3;8;8;2;99;2;1;15;4;11;17;2;2;24;2;6;4;18;1;14;74;0;1;17;0;1;2;0
"2014_25";"2014-06-16";1;8;2;11;2;2;3;6;3;3;3;6;0;0;3;1;1;2;4;51;0;3;6;71;1;2;7;19;6;0;55;2;0;7;8;20;2;23;3;12;2;7;1;2;2;9;73;4;0;20;0;1;1;1
"2014_24";"2014-06-09";1;26;1;10;2;1;2;5;12;1;0;0;1;0;3;1;1;1;4;59;1;3;7;20;1;3;3;34;6;3;45;2;2;51;8;2;49;9;1;18;0;9;2;0;8;5;17;0;0;11;0;1;1;1
"2014_23";"2014-06-02";1;15;1;14;0;1;9;6;21;1;5;31;1;2;1;0;0;3;2;85;5;4;9;45;1;19;5;39;5;2;53;5;0;31;9;2;22;6;1;13;1;9;5;11;6;6;40;1;1;3;0;1;2;1
"2014_22";"2014-05-26";0;24;0;14;0;1;2;2;11;2;1;20;1;0;2;1;0;16;9;79;5;4;9;39;1;18;7;30;3;1;26;4;0;47;12;24;25;21;3;1;1;9;3;4;4;0;33;4;0;13;2;1;0;0
"2014_21";"2014-05-19";1;31;0;9;0;2;7;5;9;4;5;10;2;1;5;0;2;0;5;106;5;2;1;62;1;5;5;51;3;3;39;1;1;9;1;22;32;19;0;17;2;2;5;19;6;13;59;0;0;11;2;2;2;0
"2014_20";"2014-05-12";1;12;0;28;2;2;3;8;81;1;3;7;1;2;0;1;2;10;5;18;6;4;4;15;1;10;4;29;2;3;81;0;0;37;1;8;12;9;1;24;1;0;3;25;6;0;23;4;1;25;0;1;1;0
"2014_19";"2014-05-05";1;15;0;0;1;1;7;7;24;0;1;31;3;2;2;0;1;7;2;49;3;4;2;4;1;19;0;30;0;3;57;2;2;0;12;23;21;19;2;19;2;3;3;4;8;11;73;3;1;4;1;1;2;1
"2014_18";"2014-04-28";1;32;1;19;0;0;11;8;51;1;2;15;2;1;5;0;2;7;3;87;5;5;0;54;0;17;1;8;5;1;64;1;0;25;4;25;13;17;3;19;1;8;5;10;2;7;26;2;1;9;1;1;0;0
"2014_17";"2014-04-21";0;1;2;9;1;1;3;8;86;1;3;38;4;1;0;1;1;2;4;2;6;0;2;0;0;16;1;5;0;0;75;1;2;0;9;27;16;1;2;9;0;8;2;9;6;15;14;4;1;16;1;2;2;0
"2014_16";"2014-04-14";1;28;0;6;2;2;2;3;20;4;1;4;4;0;0;1;2;12;3;85;4;3;4;48;1;22;8;14;2;3;103;5;2;17;2;19;6;11;0;4;0;1;1;17;1;14;48;4;0;4;2;0;1;0
"2014_15";"2014-04-07";1;12;3;10;2;1;1;3;0;2;1;10;2;1;5;1;0;5;6;99;0;2;7;31;1;2;3;21;7;0;117;0;2;29;7;7;35;18;2;14;0;2;5;3;4;4;57;0;0;10;1;2;0;1
"2014_14";"2014-03-31";0;3;3;10;2;1;4;0;20;2;1;15;3;1;1;0;2;7;5;90;3;0;0;49;1;6;5;1;9;3;45;2;0;57;3;14;37;19;1;12;2;5;4;18;6;5;34;0;0;8;2;1;1;0
"2014_13";"2014-03-24";0;0;2;15;1;0;3;2;71;1;2;4;0;2;0;0;2;14;2;37;5;3;7;63;0;6;8;19;9;0;48;0;0;27;1;26;31;10;3;10;2;9;5;20;2;0;1;1;1;6;2;1;2;0
"2014_12";"2014-03-17";0;2;0;27;1;2;10;4;110;2;0;31;3;2;4;0;0;10;4;27;1;5;6;57;1;9;3;46;3;0;50;1;0;37;0;19;1;12;3;5;2;7;5;20;0;5;7;3;1;24;0;0;0;0
"2014_11";"2014-03-10";0;13;2;33;1;1;5;3;6;0;5;38;4;0;3;1;0;1;1;46;2;5;10;19;0;0;3;0;2;2;88;4;1;0;2;17;47;0;1;19;0;0;4;7;7;14;26;3;0;19;2;0;1;1
"2014_10";"2014-03-03";0;24;1;5;0;0;5;0;80;0;0;9;0;1;0;0;0;10;9;72;0;1;8;53;0;18;7;28;0;3;36;1;2;29;1;2;46;14;1;23;1;7;0;29;6;2;62;4;1;18;0;1;0;1
"2014_09";"2014-02-24";0;28;2;6;2;2;8;8;53;2;3;21;1;2;0;1;0;0;6;54;0;3;3;58;1;29;4;37;0;0;33;3;2;14;6;14;32;16;3;2;2;8;3;7;3;3;55;3;1;5;2;2;1;1
"2014_08";"2014-02-17";1;13;0;1;2;1;8;4;98;0;5;26;3;0;3;1;2;14;7;21;3;4;6;45;1;18;4;3;7;3;80;4;1;40;12;13;40;3;3;4;0;6;3;19;1;4;36;4;0;20;1;1;1;0
"2014_07";"2014-02-10";0;17;0;25;0;0;12;5;19;1;2;11;1;1;5;1;2;4;4;28;5;0;10;60;1;10;0;54;1;3;78;3;2;13;11;3;44;7;3;3;0;5;2;13;3;13;35;0;1;21;2;1;2;0
"2014_06";"2014-02-03";0;9;2;2;0;2;10;1;81;2;5;14;3;0;2;0;2;15;6;45;4;1;6;79;0;13;1;56;2;3;37;0;1;0;13;2;18;20;1;4;1;7;4;28;7;10;41;0;0;19;2;2;0;1
"2014_05";"2014-01-27";1;9;3;14;1;0;4;4;16;4;3;32;3;1;2;0;0;16;5;101;2;2;7;60;0;21;0;33;4;0;107;2;1;59;4;6;43;15;3;24;2;5;4;9;2;5;46;1;0;19;2;0;1;0
"2014_04";"2014-01-20";0;2;2;22;2;2;10;3;66;0;2;1;0;1;4;0;2;11;2;25;3;1;2;61;1;16;4;48;5;1;71;4;1;36;6;1;4;18;0;10;2;2;0;10;5;14;53;2;1;13;2;1;1;0
"2014_03";"2014-01-13";0;13;2;18;2;2;2;2;67;4;4;1;2;2;3;1;0;16;3;87;6;2;9;3;1;24;3;12;2;1;53;0;0;28;0;4;45;15;2;8;0;7;0;10;1;12;15;4;1;21;2;1;1;0
"2014_02";"2014-01-06";0;0;1;15;1;1;1;0;22;0;3;3;2;0;0;0;2;4;4;70;4;3;4;78;1;11;1;52;8;3;93;0;2;0;5;19;36;14;1;14;0;3;5;19;2;15;26;4;1;24;1;2;1;1
"2014_01";"2013-12-30";1;21;3;8;2;0;0;3;8;1;5;37;0;2;1;0;0;12;8;1;6;5;0;29;0;12;4;41;6;3;58;2;0;46;0;11;46;17;0;0;2;1;2;15;5;5;39;4;1;20;0;2;2;0
"2013_52";"2013-12-23";0;14;2;1;2;1;6;8;82;1;2;5;3;0;1;1;2;6;3;50;0;3;4;48;0;0;4;14;8;3;70;0;1;5;12;15;25;18;3;24;2;8;3;18;4;0;74;3;0;22;2;2;1;0
"2013_51";"2013-12-16";0;14;0;21;0;1;0;0;55;3;5;12;3;2;1;1;1;14;0;72;0;4;1;33;1;12;2;38;8;2;63;5;0;18;13;14;8;18;0;1;1;2;0;29;2;15;75;1;1;9;1;2;0;0
"2013_50";"2013-12-09";1;10;1;22;1;0;12;2;58;0;3;31;3;2;2;0;1;10;8;65;0;3;7;58;1;7;8;30;1;0;73;3;0;23;0;16;26;9;3;17;2;2;2;13;8;9;38;0;1;25;2;0;1;0
"2013_49";"2013-12-02";0;15;1;23;0;1;6;1;108;4;4;33;3;1;0;1;1;3;6;17;1;2;3;4;1;19;0;15;4;2;97;3;0;11;10;10;19;15;3;24;2;2;1;12;7;13;49;0;0;4;0;0;1;0
"2013_48";"2013-11-25";1;4;3;33;1;2;0;4;83;0;0;39;4;0;4;0;2;1;3;87;3;5;5;44;0;18;8;9;1;2;116;2;1;22;13;29;45;20;3;7;0;6;1;21;0;13;28;2;0;19;2;2;0;1
"2013_47";"2013-11-18";0;26;2;22;1;2;4;3;47;3;4;16;4;2;2;1;2;0;7;83;6;0;0;80;0;1;8;31;9;3;98;2;1;38;12;8;45;5;3;2;2;3;0;0;2;1;27;1;1;20;0;2;0;1
"2013_46";"2013-11-11";1;28;2;4;0;0;5;0;92;1;5;26;4;1;2;0;1;0;9;28;4;5;5;7;0;11;8;57;5;1;94;2;0;9;5;24;7;9;3;23;0;0;5;1;4;15;50;3;0;20;2;0;1;1
"2013_45";"2013-11-04";0;19;0;13;1;2;6;8;6;2;5;27;1;0;3;0;1;12;6;37;2;3;5;56;1;13;2;3;4;1;91;3;1;16;0;27;0;15;2;22;2;3;3;8;1;12;50;2;0;20;0;1;0;1
"2013_44";"2013-10-28";0;23;0;5;2;0;6;2;71;0;5;11;3;2;0;0;1;3;7;35;2;0;1;56;1;9;8;47;8;0;105;0;1;32;2;5;19;4;3;23;1;4;4;0;5;4;15;0;1;14;0;0;2;1
"2013_43";"2013-10-21";0;5;1;31;2;0;6;3;93;2;4;0;3;0;1;1;0;16;3;105;6;5;0;84;0;23;0;52;0;3;40;2;0;2;5;27;45;19;2;16;2;7;1;23;4;7;63;2;0;22;1;0;2;0
"2013_42";"2013-10-14";0;27;1;19;2;0;2;6;89;0;1;14;3;0;5;0;1;2;0;52;4;2;9;80;0;8;8;41;0;1;3;5;0;38;0;27;9;3;3;8;0;6;2;7;6;5;56;0;0;19;2;1;2;1
"2013_41";"2013-10-07";0;18;2;10;1;1;0;2;6;4;2;3;3;1;0;1;2;5;2;105;5;2;7;64;1;10;5;42;4;1;48;1;1;22;10;2;45;18;2;10;0;3;1;3;1;14;72;1;1;5;2;2;2;0
"2013_40";"2013-09-30";0;6;3;29;2;0;9;4;34;1;1;39;3;1;0;0;0;13;4;67;6;2;8;28;0;8;2;10;0;0;11;0;2;22;0;15;15;18;3;13;1;2;2;10;4;1;58;2;1;8;1;0;1;1
"2013_39";"2013-09-23";1;8;3;7;0;1;5;6;97;1;5;0;2;1;2;1;1;15;6;87;1;4;8;39;1;7;3;53;0;1;69;3;1;29;1;1;22;0;2;19;2;9;3;0;2;4;8;2;0;5;1;2;1;1
"2013_38";"2013-09-16";1;7;1;0;1;1;12;4;20;2;1;32;0;2;5;1;0;4;9;11;6;4;0;7;1;7;8;50;7;2;77;4;0;23;8;13;3;5;0;19;1;5;4;8;3;2;22;4;0;1;2;0;2;0
"2013_37";"2013-09-09";1;7;3;30;2;2;5;8;42;3;4;25;4;1;0;0;2;1;9;19;4;3;1;15;1;15;5;15;2;3;90;1;0;29;7;27;18;16;3;0;1;6;4;0;6;11;8;3;1;0;1;0;2;1
"2013_36";"2013-09-02";0;26;3;30;0;1;1;5;59;4;1;0;1;2;1;1;2;1;2;18;1;0;7;6;0;22;3;17;8;3;28;2;1;4;13;3;14;12;0;18;0;9;5;23;2;10;27;3;1;0;0;0;0;0
"2013_35";"2013-08-26";0;18;1;14;2;1;7;5;15;2;5;33;3;0;5;0;2;2;4;62;6;3;8;8;1;5;3;7;0;2;109;2;1;43;12;8;47;9;1;2;1;6;2;4;3;10;45;2;0;17;0;1;2;0
"2013_34";"2013-08-19";0;18;0;17;2;2;6;7;39;0;1;37;3;2;5;1;1;6;5;30;3;3;10;4;0;2;4;34;6;0;27;4;0;1;5;0;33;13;2;1;2;1;2;11;8;13;25;1;1;14;0;2;2;1
"2013_33";"2013-08-12";1;28;0;0;2;2;0;1;46;4;2;22;1;2;1;1;0;14;4;98;5;1;5;15;1;0;0;38;6;1;85;5;0;32;1;23;37;13;2;1;0;9;5;2;4;6;21;4;0;5;2;0;1;1
"2013_32";"2013-08-05";1;11;1;4;2;1;8;8;69;3;0;15;4;1;2;0;2;2;7;81;2;1;9;35;0;10;7;3;1;2;26;4;2;46;0;10;5;18;1;4;1;5;0;3;2;11;16;4;0;16;1;0;2;1
"2013_31";"2013-07-29";1;30;1;5;1;2;9;7;28;2;2;16;2;1;1;0;2;11;6;65;4;2;3;61;1;23;3;58;9;1;27;1;0;27;2;5;9;1;1;19;2;3;1;13;0;11;14;2;1;6;0;2;1;1
"2013_30";"2013-07-22";0;5;1;25;2;2;0;6;63;2;1;24;2;1;3;0;1;13;9;94;5;4;7;84;1;15;7;15;5;2;81;1;2;47;10;1;8;7;0;22;2;1;2;13;2;10;36;1;0;5;0;2;2;0
"2013_29";"2013-07-15";0;13;0;26;0;0;4;5;24;4;2;3;1;2;1;1;1;3;3;74;4;4;10;55;1;27;2;16;1;3;95;5;1;22;10;0;8;12;2;13;2;1;3;6;5;14;15;2;0;23;0;0;2;0
"2013_28";"2013-07-08";0;19;2;0;0;2;7;1;99;0;2;31;0;1;4;0;2;6;3;29;6;4;4;58;0;23;3;57;4;3;90;2;2;23;8;17;3;20;0;2;2;5;5;4;1;10;38;2;0;6;0;2;0;1
"2013_27";"2013-07-01";1;13;1;21;2;1;8;0;68;0;2;17;1;2;0;1;0;9;6;75;3;2;0;71;1;25;5;14;5;0;116;5;2;54;4;11;28;1;0;6;0;5;4;25;7;4;61;0;1;19;2;1;1;0
"2013_26";"2013-06-24";1;4;1;7;0;2;11;6;68;4;2;27;2;1;1;1;2;1;2;96;2;2;10;60;1;25;8;22;4;2;54;5;1;20;4;10;26;9;2;3;1;4;2;9;8;3;62;1;1;10;0;2;2;1
"2013_25";"2013-06-17";1;2;1;2;0;1;5;3;69;4;0;33;3;0;3;1;2;12;1;21;5;2;10;47;1;21;1;21;0;1;75;1;0;49;4;17;47;10;1;10;1;1;3;26;4;1;28;1;1;15;0;0;2;1
"2013_24";"2013-06-10";1;11;1;30;1;0;0;5;35;1;3;39;0;2;4;1;2;15;0;29;0;5;7;17;1;0;8;24;4;3;75;4;0;47;2;26;10;11;0;22;1;5;5;28;6;9;66;2;0;6;2;1;0;0
"2013_23";"2013-06-03";0;8;1;32;1;2;12;2;81;2;0;20;4;2;0;0;2;2;0;10;6;4;0;66;1;16;1;40;8;2;66;1;2;51;7;9;30;13;0;23;1;8;5;6;0;13;44;4;1;17;0;1;1;1
"2013_22";"2013-05-27";1;31;0;17;2;2;5;8;61;2;5;6;2;0;0;0;0;11;6;70;2;3;2;23;1;11;8;4;1;3;90;1;2;1;0;20;44;8;2;1;1;4;2;4;6;6;68;1;1;6;2;2;1;0
"2013_21";"2013-05-20";1;1;2;7;2;1;7;7;14;3;0;9;2;0;3;0;0;3;0;0;4;4;8;53;1;2;8;26;2;2;35;3;1;42;7;12;5;6;1;12;0;3;3;31;2;2;2;3;0;12;2;1;1;0
"2013_20";"2013-05-13";0;0;1;21;2;1;7;0;33;0;2;9;0;2;5;0;1;11;0;69;1;5;6;75;0;27;2;18;9;3;12;3;2;57;10;15;7;0;2;20;0;5;4;27;1;11;36;3;0;7;0;0;1;1
"2013_19";"2013-05-06";1;4;0;1;1;1;0;8;11;4;3;15;0;1;0;1;1;16;5;22;2;1;10;20;0;26;6;15;3;3;81;4;0;57;10;18;33;18;2;14;2;7;2;8;0;15;46;1;1;5;2;0;1;0
"2013_18";"2013-04-29";1;3;1;0;2;1;10;6;55;3;3;7;3;0;1;0;0;5;7;45;3;4;4;54;1;6;8;53;1;2;37;2;0;22;2;21;38;23;3;16;2;6;3;3;6;12;8;2;0;4;2;1;1;1
"2013_17";"2013-04-22";1;32;1;13;1;1;12;5;106;1;5;28;3;0;3;1;1;11;2;57;2;4;10;68;0;27;4;15;9;3;100;3;0;39;8;29;47;0;0;3;0;5;5;19;4;8;66;2;0;19;2;0;1;0
"2013_16";"2013-04-15";1;28;2;18;2;0;9;6;53;0;1;37;3;0;3;1;0;2;5;86;4;2;3;47;1;11;0;10;6;2;82;1;0;20;8;1;14;2;1;18;0;2;4;31;3;7;68;3;0;18;0;0;2;1
"2013_15";"2013-04-08";0;2;2;9;1;2;8;8;74;2;4;3;3;0;4;1;2;3;0;64;2;4;1;12;0;20;3;51;7;2;84;1;2;51;8;14;43;15;2;1;2;2;2;13;0;15;25;2;1;19;2;2;0;1
"2013_14";"2013-04-01";0;32;2;12;1;0;4;8;30;0;3;15;3;1;4;0;2;16;5;5;1;0;8;72;1;24;7;31;9;2;115;5;2;32;8;20;46;2;2;8;1;6;3;26;3;3;38;1;0;22;2;1;2;1
"2013_13";"2013-03-25";0;0;1;3;1;0;2;3;47;3;5;2;3;1;2;1;0;11;3;1;5;3;1;35;1;20;2;26;2;2;59;0;1;30;1;1;14;13;1;22;2;2;3;19;0;4;17;0;1;10;1;0;2;0
"2013_12";"2013-03-18";0;6;3;25;0;2;9;0;2;0;4;28;3;1;3;1;1;6;1;43;1;0;8;17;1;20;0;53;0;2;48;4;0;48;6;27;21;17;3;11;0;4;4;7;8;6;24;3;0;2;0;2;0;1
"2013_11";"2013-03-11";0;25;0;16;0;1;8;1;24;3;1;22;2;1;3;0;2;14;7;85;1;3;10;20;0;6;6;14;5;0;56;2;2;4;12;1;12;12;0;18;0;5;2;32;7;12;8;0;0;25;2;2;1;1
"2013_10";"2013-03-04";0;30;0;19;0;0;11;7;52;1;5;33;0;2;3;0;2;14;9;35;3;2;2;4;0;6;5;23;1;0;86;3;1;19;11;1;43;1;1;2;1;3;2;12;5;10;8;4;1;19;0;1;1;0
"2013_09";"2013-02-25";1;2;0;31;2;0;11;8;99;3;2;21;4;0;1;0;0;16;7;1;4;0;10;77;0;27;0;12;2;3;95;2;2;52;7;1;21;17;3;8;2;4;5;30;4;3;27;3;0;25;2;0;2;1
"2013_08";"2013-02-18";0;6;3;11;1;0;1;6;48;0;0;6;1;0;5;0;0;3;7;47;3;3;4;0;1;6;4;40;7;1;42;2;1;45;7;1;8;5;0;4;1;3;4;20;7;4;19;3;0;11;0;2;0;0
"2013_07";"2013-02-11";0;0;3;21;0;2;3;5;63;4;0;9;1;2;2;0;0;8;0;6;5;2;0;21;1;15;4;30;7;1;75;4;1;51;10;14;0;23;1;8;0;1;0;20;1;8;11;1;1;4;1;1;0;1
"2013_06";"2013-02-04";0;2;3;7;1;1;3;3;48;4;4;0;1;2;4;1;0;16;8;76;5;3;0;16;1;29;2;29;1;0;14;2;1;54;8;13;9;13;0;10;0;8;2;23;6;5;10;3;1;11;0;0;0;0
"2013_05";"2013-01-28";1;24;0;7;2;1;7;3;2;1;2;28;3;1;2;1;0;16;4;16;3;4;9;73;0;24;0;28;0;3;38;5;2;42;5;27;0;10;1;14;0;7;4;13;2;12;75;3;1;18;2;0;0;1
"2013_04";"2013-01-21";1;24;1;5;2;2;0;6;108;1;4;3;2;0;1;1;1;0;3;83;2;1;9;5;1;15;2;26;5;2;67;2;2;22;1;7;31;16;0;21;1;5;2;23;0;15;70;2;0;0;0;2;1;1
"2013_03";"2013-01-14";1;16;3;30;1;1;10;2;77;4;0;8;4;0;1;1;2;13;0;56;5;0;6;51;1;8;3;47;4;1;31;4;0;4;8;9;7;22;2;7;2;0;5;19;2;3;26;2;0;7;2;1;1;1
"2013_02";"2013-01-07";1;1;2;6;0;2;2;2;46;2;3;36;0;1;3;0;1;3;7;81;4;2;6;64;0;7;8;15;9;2;97;4;0;14;11;2;12;11;0;2;1;1;4;11;7;8;55;0;1;18;1;1;0;0
"2013_01";"2012-12-31";0;0;2;13;2;1;6;6;29;3;2;17;0;2;2;1;0;6;0;101;6;4;4;35;0;21;2;33;5;0;71;2;1;34;6;9;4;21;1;3;1;7;5;18;5;9;19;3;0;23;1;2;0;0
"2012_52";"2012-12-24";0;32;3;8;1;1;12;6;107;2;3;26;4;1;4;1;1;3;2;18;1;4;4;20;1;19;0;19;4;0;64;3;0;52;4;21;21;2;0;18;1;7;4;30;2;10;48;0;1;21;0;2;1;1
"2012_51";"2012-12-17";1;6;3;21;0;1;4;0;94;4;2;25;0;2;2;1;0;14;8;58;3;5;0;7;0;8;1;39;5;3;69;0;1;33;3;22;14;13;1;11;1;7;2;7;4;6;40;1;0;9;1;1;0;1
"2012_50";"2012-12-10";0;15;2;20;1;1;12;5;38;4;5;18;0;2;3;0;0;15;8;19;3;0;9;65;0;5;6;10;1;2;51;5;0;13;2;27;21;19;2;4;1;6;1;5;5;10;59;1;1;12;1;0;1;1
"2012_49";"2012-12-03";1;25;1;22;1;2;8;2;22;4;0;14;3;0;1;0;2;6;4;68;6;4;4;81;1;25;7;7;1;1;67;2;2;19;13;6;9;20;1;16;0;4;1;3;3;6;71;0;0;11;1;1;1;0
"2012_48";"2012-11-26";1;18;0;22;2;1;2;1;4;1;4;3;1;1;3;0;1;10;8;27;6;0;2;10;1;24;2;30;4;1;28;3;0;8;1;23;44;3;2;17;1;4;3;11;5;7;5;4;0;7;2;2;0;0
"2012_47";"2012-11-19";0;22;0;9;2;1;8;7;51;1;0;30;2;1;5;1;2;13;8;63;2;3;1;72;0;13;1;6;2;1;73;0;2;1;12;12;45;20;2;1;0;0;0;12;0;1;66;3;1;6;0;0;0;0
"2012_46";"2012-11-12";0;28;1;14;2;2;12;1;72;0;4;21;3;1;1;1;1;0;2;75;0;0;3;75;1;21;0;46;1;0;107;3;1;49;2;20;40;2;3;15;0;3;0;8;6;15;25;4;1;11;1;2;2;1
"2012_45";"2012-11-05";1;3;2;18;2;1;10;7;28;1;4;18;4;2;0;0;0;13;3;79;6;3;6;42;0;7;1;30;0;1;74;5;1;42;5;12;22;20;0;11;2;7;1;4;1;15;47;3;0;4;0;2;1;1
"2012_44";"2012-10-29";1;1;3;11;2;2;8;4;44;4;3;2;2;1;4;0;1;9;1;27;0;0;1;14;1;19;1;4;8;0;21;5;2;10;0;0;49;19;2;12;2;7;3;0;1;9;18;3;0;12;2;0;1;1
"2012_43";"2012-10-22";1;9;0;8;0;1;3;5;38;0;0;25;1;1;5;0;1;4;0;32;0;1;10;13;0;26;8;8;3;3;98;2;0;24;9;9;26;0;1;1;1;2;1;8;7;0;21;3;0;17;1;0;0;0
